No.,SMILES,HDAC6 activity,Applicability domain (AD),"Experimental value, pIC50",Standard deviation,Chemble ID
2274,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,unreliable prediction,Outside AD,-,-,-
2275,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,unreliable prediction,Outside AD,-,-,-
2276,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,Inactive,Inside AD,-,-,-
2277,CN(CCOc1ccc(-c2ccc(C#N)cc2)cc1)C(=O)NO,unreliable prediction,Outside AD,-,-,-
2278,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,unreliable prediction,Outside AD,-,-,-
2279,CN1CCC2=C(C1)c1ccccc1Cc1ccccc12,unreliable prediction,Outside AD,-,-,-
2280,CC(=O)CNC(=O)OCc1ccccc1,unreliable prediction,Outside AD,-,-,-
2281,O=C(NCN1CCOCC1)c1cnccn1,unreliable prediction,Outside AD,-,-,-
2282,CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,unreliable prediction,Outside AD,-,-,-
2283,COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1,Inactive,Inside AD,-,-,-
2284,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,unreliable prediction,Outside AD,-,-,-
2285,COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br,Inactive,Inside AD,-,-,-
2286,O=C(Nc1ccccc1)Nc1ccccc1,unreliable prediction,Outside AD,-,-,-
2287,CCOC(=O)C(N)CCC(=O)NC(CSCc1ccccc1)C(=O)NC(C(=O)OCC)c1ccccc1,unreliable prediction,Outside AD,-,-,-
2288,Nc1nc(=O)c2ncn(C3CC(CO)C3CO)c2[nH]1,unreliable prediction,Outside AD,-,-,-
2289,COc1ccc2c(c1)N(C(=O)OC(C)C)C(CSC)C(=S)N2,unreliable prediction,Outside AD,-,-,-
2290,Nc1ncnc2c1ncn2CCOCP1(=O)OCCC(c2cccc(Cl)c2)O1,unreliable prediction,Outside AD,-,-,-
2291,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,unreliable prediction,Outside AD,-,-,-
2292,CCCCCC=CCC=CC=CC=CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(O)CCCC(=O)O,unreliable prediction,Outside AD,-,-,-
2293,O=C(O)CCCCCCCCCCS,unreliable prediction,Outside AD,-,-,-
2294,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,unreliable prediction,Outside AD,-,-,-
2295,CC(C)CC(=O)O,unreliable prediction,Outside AD,-,-,-
2296,O=C(O)CC1CCC(c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,unreliable prediction,Outside AD,-,-,-
2297,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,unreliable prediction,Outside AD,-,-,-
2298,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC1CN(C(=O)C(CC(C)C)NC(=O)OCc2ccccc2)CC1=O,unreliable prediction,Outside AD,-,-,-
2299,Oc1ccc2c(c1)CCC(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,unreliable prediction,Outside AD,-,-,-
2300,CC12CCC3C4CCC(=O)C(O)=C4CCC3C1CCC2O,unreliable prediction,Outside AD,-,-,-
2301,O=C(O)C(CO)OP(=O)(O)O,unreliable prediction,Outside AD,-,-,-
2302,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,see experimental value,-,4.16,0.0,CHEMBL325041
2303,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,unreliable prediction,Outside AD,-,-,-
2304,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,unreliable prediction,Outside AD,-,-,-
2305,C#CC1(OC(N)=O)CCCCC1,unreliable prediction,Outside AD,-,-,-
2306,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1,Inactive,Inside AD,-,-,-
2307,CCOC(=O)c1ccccc1O,unreliable prediction,Outside AD,-,-,-
2308,NCC1CCC(C(=O)O)CC1,unreliable prediction,Outside AD,-,-,-
2309,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,unreliable prediction,Outside AD,-,-,-
2310,O=C(Nc1ccccc1C(=O)O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1,unreliable prediction,Outside AD,-,-,-
2311,Nc1nc(N)c2c(OCC3CCN(Cc4ccccc4F)CC3)cccc2n1,Inactive,Inside AD,-,-,-
2312,CCCC(=O)OCOC(=O)C(C)(C)C,unreliable prediction,Outside AD,-,-,-
2313,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,Inactive,Inside AD,-,-,-
2314,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1Cl,Inactive,Inside AD,-,-,-
2315,Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O,unreliable prediction,Outside AD,-,-,-
2316,COc1cc(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)ccc1O,Inactive,Inside AD,-,-,-
2317,COc1ccccc1-c1c[nH]c2ncc(-c3cncc(C(=O)N(C)C)c3)cc12,Inactive,Inside AD,-,-,-
2318,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,Inactive,Inside AD,-,-,-
2319,CC(=O)c1sc(CCOP(=O)(O)OP(=O)(O)O)c(C)[n+]1Cc1cnc(C)nc1N,Inactive,Inside AD,-,-,-
2320,CC1=C(C(=O)Nc2ccccc2)SCCO1,unreliable prediction,Outside AD,-,-,-
2321,O=C(O)CCCCCCNC(=O)NC1CCCCC1,unreliable prediction,Outside AD,-,-,-
2322,NC(Cc1ccccc1)C(O)C(N)Cc1ccccc1,unreliable prediction,Outside AD,-,-,-
2323,O=CC(O)C(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2324,O=CC(O)C(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2325,O=CC(O)C(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2326,O=CC(O)C(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2327,[H]N=C(N)c1cc2cccnc2s1,unreliable prediction,Outside AD,-,-,-
2328,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,unreliable prediction,Outside AD,-,-,-
2329,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,unreliable prediction,Outside AD,-,-,-
2330,CC(C)CCNc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Inactive,Inside AD,-,-,-
2331,CC1(C(=O)O)OCC2OC(OC3C(C(=O)O)OC(O)C(O)C3O)C(O)C(O)C2O1,unreliable prediction,Outside AD,-,-,-
2332,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,unreliable prediction,Outside AD,-,-,-
2333,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,unreliable prediction,Outside AD,-,-,-
2334,CC(C)Oc1ccc(-c2nc(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6(C)CC6)CC5C=CCCCCCC(NC(=O)OC5CCCC5)C(=O)N4C3)c3oc4ccccc4c3n2)cc1,Inactive,Inside AD,-,-,-
2335,CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],unreliable prediction,Outside AD,-,-,-
2336,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,Inactive,Inside AD,-,-,-
2337,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,Inactive,Inside AD,-,-,-
2338,CCC(C)C(NCc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O,unreliable prediction,Outside AD,-,-,-
2339,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,unreliable prediction,Outside AD,-,-,-
2340,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2SC(=O)NC2=O)c2sccc12,Inactive,Inside AD,-,-,-
2341,Nc1nc(=O)c2ncn(C3CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c2[nH]1,Inactive,Inside AD,-,-,-
2342,CCCCCCCCOC1OC(CO)C(O)C(N)C1O,unreliable prediction,Outside AD,-,-,-
2343,O=CCCCC1CCNCC1,unreliable prediction,Outside AD,-,-,-
2344,O=C(O)C=Cc1ccc(C(=O)O)cc1,unreliable prediction,Outside AD,-,-,-
2345,CN=C=O,unreliable prediction,Outside AD,-,-,-
2346,NN=C(N)N,unreliable prediction,Outside AD,-,-,-
2347,CCC1(C)CC(=O)NC1=O,unreliable prediction,Outside AD,-,-,-
2348,CC1(O)CCC2C(CCC3C2CCC2(C)C(C(=O)Cn4cc(C#N)cn4)CCC32)C1,unreliable prediction,Outside AD,-,-,-
2349,CCCCC(OP(=O)(O)O)C(=O)NC(CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1,unreliable prediction,Outside AD,-,-,-
2350,CCCCCC(=O)NC(CCS)C(=O)O,unreliable prediction,Outside AD,-,-,-
2351,CC1(C(=O)O)OCC(OC(=O)NCCNC(=O)OC2COC(C)(C(=O)O)OC2)CO1,unreliable prediction,Outside AD,-,-,-
2352,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2353,CN(CCCl)CCCl,unreliable prediction,Outside AD,-,-,-
2354,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,Inactive,Inside AD,-,-,-
2355,CN1CCN(c2ccc(C(=O)Nc3[nH]nc4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,Inactive,Inside AD,-,-,-
2356,O=C(O)c1cccc2c1oc1c(C(=O)O)cccc12,unreliable prediction,Outside AD,-,-,-
2357,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,unreliable prediction,Outside AD,-,-,-
2358,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO,Inactive,Inside AD,-,-,-
2359,CNCCCC1(C)C(=O)N(c2ccccc2)c2ccccc21,unreliable prediction,Outside AD,-,-,-
2360,CCC1CCNC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)C1,unreliable prediction,Outside AD,-,-,-
2361,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,Inactive,Inside AD,-,-,-
2362,Cc1cn(C2CC([N-][N+]#N)C(CO)O2)c(=O)[nH]c1=O,unreliable prediction,Outside AD,-,-,-
2363,O=C(NO)c1ccccc1O,unreliable prediction,Outside AD,-,-,-
2364,O=C(NCCCc1ccccc1)NC1CCCCC1,unreliable prediction,Outside AD,-,-,-
2365,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,Inactive,Inside AD,-,-,-
2366,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,Inactive,Inside AD,-,-,-
2367,O=C(C(O)CO)N1CC=C(c2c(F)cc(N3CC(COc4ccon4)OC3=O)cc2F)CC1,Inactive,Inside AD,-,-,-
2368,O=C1NC(=S)SC1Cc1ccc(C(F)(F)F)cc1,unreliable prediction,Outside AD,-,-,-
2369,Nc1nc(=O)c2[nH]c(=O)n(C3CC(O)C(CO)O3)c2[nH]1,Inactive,Inside AD,-,-,-
2370,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,Inactive,Inside AD,-,-,-
2371,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,unreliable prediction,Outside AD,-,-,-
2372,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,unreliable prediction,Outside AD,-,-,-
2373,O=c1c(-c2ccccc2)c1-c1ccccc1,unreliable prediction,Outside AD,-,-,-
2374,CC(O)C(CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1,unreliable prediction,Outside AD,-,-,-
2375,NCCCCNCCCNC(=O)CNC(=O)C(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)NCCCNCCCCN)NC(=O)CCC(N)C(=O)O,unreliable prediction,Outside AD,-,-,-
2376,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,Inactive,Inside AD,-,-,-
2377,Cc1nnc(C2OC(CO)C(O)C(O)C2O)o1,unreliable prediction,Outside AD,-,-,-
2378,CC(C)c1sc(C2Cc3ccccc3CN2)nc1C(=O)O,unreliable prediction,Outside AD,-,-,-
2379,CNCCCN1c2ccccc2CCc2ccccc21,unreliable prediction,Outside AD,-,-,-
2380,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,unreliable prediction,Outside AD,-,-,-
2381,CC(=O)C=Cc1cn(C)c2ccccc12,Active,Inside AD,-,-,-
2382,O=C(O)c1cc(=O)c2ccccc2[nH]1,unreliable prediction,Outside AD,-,-,-
2383,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,unreliable prediction,Outside AD,-,-,-
2384,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,unreliable prediction,Outside AD,-,-,-
2385,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,unreliable prediction,Outside AD,-,-,-
2386,Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,unreliable prediction,Outside AD,-,-,-
2387,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,unreliable prediction,Outside AD,-,-,-
2388,OCC1CC(O)C(O)C(O)O1,unreliable prediction,Outside AD,-,-,-
2389,CCN1C(=O)C=CC1=O,unreliable prediction,Outside AD,-,-,-
2390,Nc1nc(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1C=O,unreliable prediction,Outside AD,-,-,-
2391,O=C(O)c1ccc(-c2ccc([N+](=O)[O-])cc2Cl)o1,unreliable prediction,Outside AD,-,-,-
2392,Cn1nc(C(F)(F)F)c2cc(C(=O)NCCS)sc21,unreliable prediction,Outside AD,-,-,-
2393,Cc1c(Sc2ccccc2)n(COCCO)c(=O)[nH]c1=O,unreliable prediction,Outside AD,-,-,-
2394,CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,unreliable prediction,Outside AD,-,-,-
2395,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,unreliable prediction,Outside AD,-,-,-
2396,O=P(O)(O)OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2397,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2398,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,unreliable prediction,Outside AD,-,-,-
2399,CCC(Nc1ncnc2nc[nH]c12)c1oc2ccccc2c(=O)c1-c1cccc(F)c1,Inactive,Inside AD,-,-,-
2400,O=C(O)C1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1O,Inactive,Inside AD,-,-,-
2401,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,unreliable prediction,Outside AD,-,-,-
2402,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,Active,Inside AD,-,-,-
2403,CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2=Cc1ccc(C=C2C(=O)C3(CS(=O)(=O)O)CCC2C3(C)C)cc1,unreliable prediction,Outside AD,-,-,-
2404,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,Inactive,Inside AD,-,-,-
2405,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(CC(NCCCC(=O)O)c3ccccc3)c2=O)c1F,Inactive,Inside AD,-,-,-
2406,CCCC(=O)C(O)=COP(=O)(O)O,unreliable prediction,Outside AD,-,-,-
2407,OCC(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2408,OCC(O)C(O)C(O)CO,unreliable prediction,Outside AD,-,-,-
2409,ClC(Cl)Cl,unreliable prediction,Outside AD,-,-,-
2410,CCCCCC(O)C=Cc1ccccc1C=CC(O)C(O)CCCC(=O)O,unreliable prediction,Outside AD,-,-,-
2411,CC(C)Cc1ccc(C(C)C(=O)O)cc1,unreliable prediction,Outside AD,-,-,-
2412,CC(C)Cc1ccc(C(C)C(=O)O)cc1,unreliable prediction,Outside AD,-,-,-
2413,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2414,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2415,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,unreliable prediction,Outside AD,-,-,-
2416,Cc1ccc(C=C2C(=O)C3(C)CCC2C3(C)C)cc1,unreliable prediction,Outside AD,-,-,-
2417,NC1C(OC2C(O)C(O)C(O)C(O)C2O)OC(CO)C(O)C1O,unreliable prediction,Outside AD,-,-,-
2418,O=C(O)C(CS)CCCc1ccccc1,unreliable prediction,Outside AD,-,-,-
2419,COc1cc(Br)cc(CN2CCC(NC(=O)CCCS)CC2)c1OC,unreliable prediction,Outside AD,-,-,-
2420,CCCCCCCCC=CCCCCCCCC(=O)OCC1OC(n2ccc(N)nc2=O)C(F)(F)C1O,Inactive,Inside AD,-,-,-
2421,COCCOCCOCCOc1ccc(C(C)(C)CC(C)(C)C)cc1,unreliable prediction,Outside AD,-,-,-
2422,C=C1C2=C(CC1(C)CC=CC(C)=CC(=O)O)C(C)(C)CCC2,unreliable prediction,Outside AD,-,-,-
2423,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C3O)c2[nH]1,Inactive,Inside AD,-,-,-
2424,CC1CC2C(=C3CCC(=O)C=C31)C(c1ccc(N(C)C)cc1)CC1(C)C2CCC12CCCO2,unreliable prediction,Outside AD,-,-,-
2425,O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1F,unreliable prediction,Outside AD,-,-,-
2426,O=CC(Cl)(Cl)Cl,unreliable prediction,Outside AD,-,-,-
2427,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,unreliable prediction,Outside AD,-,-,-
2428,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,unreliable prediction,Outside AD,-,-,-
2429,O=C(Nc1nccs1)c1cccc(CN2C(=O)N(CC3CC3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1,Inactive,Inside AD,-,-,-
2430,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,see experimental value,-,7.82,0.0,CHEMBL1789941
2431,[H]N=C(N)Nc1cccc(C(CP(=O)(O)CCCc2ccccc2)C(=O)O)c1,unreliable prediction,Outside AD,-,-,-
2432,CC(C)Nc1cc(Cl)nc2c(C#N)cnn12,unreliable prediction,Outside AD,-,-,-
2433,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1,Inactive,Inside AD,-,-,-
2434,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,unreliable prediction,Outside AD,-,-,-
2435,CNC(C)CC1CCCC1,unreliable prediction,Outside AD,-,-,-
2436,Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CCC(=O)N3COP(=O)(O)O)oc2ccccc12,Inactive,Inside AD,-,-,-
2437,CCC(CO)Nc1nc(OCc2ccccc2)c2ncn(C(C)C)c2n1,unreliable prediction,Outside AD,-,-,-
2438,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1ccc1n[nH]cc12,unreliable prediction,Outside AD,-,-,-
2439,CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,unreliable prediction,Outside AD,-,-,-
2440,CCCCC=O,unreliable prediction,Outside AD,-,-,-
2441,CC(C)CC(N)P(=O)(O)O,unreliable prediction,Outside AD,-,-,-
2442,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,unreliable prediction,Outside AD,-,-,-
2443,O=C(O)C=Cc1ccc(O)cc1O,unreliable prediction,Outside AD,-,-,-
2444,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,Inactive,Inside AD,-,-,-
2445,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,Inactive,Inside AD,-,-,-
2446,Nc1ncc2cc(-c3c(Br)cccc3Br)c(N)nc2n1,unreliable prediction,Outside AD,-,-,-
2447,[H]N=C(N)NCC(OC(=O)c1cccnc1)c1ccc(B2OCC(CO)O2)cc1,unreliable prediction,Outside AD,-,-,-
2448,CC(Cc1ccccc1O)C(=O)O,unreliable prediction,Outside AD,-,-,-
2449,CSCC(=O)O,unreliable prediction,Outside AD,-,-,-
2450,Cc1ccc2c(c1)ncn2C1OC(COP(=O)(O)O)C(O)C1O,Inactive,Inside AD,-,-,-
2451,CN1CCc2nc(C(=O)NC3CC(C(=O)N(C)C)CCC3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,Inactive,Inside AD,-,-,-
2452,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,unreliable prediction,Outside AD,-,-,-
2453,C=CC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C,unreliable prediction,Outside AD,-,-,-
2454,O=C(O)C(=O)CO,unreliable prediction,Outside AD,-,-,-
2455,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,Inactive,Inside AD,-,-,-
2456,CNC(=O)CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,unreliable prediction,Outside AD,-,-,-
2457,Cc1cc(C(=O)Nc2cc(Br)c(O)c(Br)c2)cc(C)c1O,unreliable prediction,Outside AD,-,-,-
2458,CC(CC#CC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,unreliable prediction,Outside AD,-,-,-
2459,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,unreliable prediction,Outside AD,-,-,-
2460,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1,Inactive,Inside AD,-,-,-
2461,CC(O)(C(=O)O)C(CC(=O)O)C(=O)O,unreliable prediction,Outside AD,-,-,-
2462,OCC(CO)(CO)NCCCNC(CO)(CO)CO,unreliable prediction,Outside AD,-,-,-
2463,O=CC(=O)O,unreliable prediction,Outside AD,-,-,-
2464,c1cn(-c2ccc(OC3CCCN(Cc4ccc5c(c4)OCO5)C3)cc2)cn1,Active,Inside AD,-,-,-
2465,CNc1nccc(-c2ccc(C(=O)NC(CN)Cc3ccc(Cl)cc3Cl)s2)n1,unreliable prediction,Outside AD,-,-,-
2466,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OCC(O)CO)C(O)C2O)c(=O)n1,Inactive,Inside AD,-,-,-
2467,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(Cc1cccs1)CC2O,Inactive,Inside AD,-,-,-
2468,O=S(=O)(O)OC1C(O)C(O)OC(CO)C1O,unreliable prediction,Outside AD,-,-,-
2469,CC(NN)c1ccccc1,unreliable prediction,Outside AD,-,-,-
2470,CS(C)(=O)=O,unreliable prediction,Outside AD,-,-,-
2471,CC1=C2C(=O)c3c(O)cccc3C=C2CC(CC(=O)O)O1,Inactive,Inside AD,-,-,-
2472,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Inactive,Inside AD,-,-,-
2473,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12,unreliable prediction,Outside AD,-,-,-
2474,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,unreliable prediction,Outside AD,-,-,-
2475,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,unreliable prediction,Outside AD,-,-,-
2476,O=[N+]([O-])c1nccn1CC(O)CF,unreliable prediction,Outside AD,-,-,-
2477,O=C1CCCCc2cnn3c(NC4CC4)nc(nc23)Nc2cccc(c2)N1,Active,Inside AD,-,-,-
2478,Oc1ccc(CCc2cc(O)cc(O)c2)cc1,unreliable prediction,Outside AD,-,-,-
2479,c1ccc(CNc2ccc(OCC3CCCN3)cc2)cc1,unreliable prediction,Outside AD,-,-,-
2480,O=C(Nc1ccc2[nH]cc(CCc3ccncc3)c2c1)c1cc(F)cc(N2CCOCC2)c1,Inactive,Inside AD,-,-,-
2481,Cc1nc(-c2ccccn2)nc(NCCc2ccccc2)c1Cl,unreliable prediction,Outside AD,-,-,-
2482,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,Inactive,Inside AD,-,-,-
2483,[H]N=C(N)NCC1COc2ccccc2O1,unreliable prediction,Outside AD,-,-,-
2484,CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,Inactive,Inside AD,-,-,-
2485,CC(=O)Nc1ccc(C(=O)O)cc1NC(N)N,unreliable prediction,Outside AD,-,-,-
2486,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,Inactive,Inside AD,-,-,-
2487,CC(N)C(=O)NC(CCC(N)=O)C(=O)O,unreliable prediction,Outside AD,-,-,-
2488,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1,unreliable prediction,Outside AD,-,-,-
2489,NC(CC1=CCCCc2o[nH]c(=O)c21)C(=O)O,unreliable prediction,Outside AD,-,-,-
