No.,SMILES,HDAC6 activity,Applicability domain (AD),"Experimental value, pIC50",Standard deviation,Chemble ID
5953,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,unreliable prediction,Outside AD,-,-,-
5954,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,unreliable prediction,Outside AD,-,-,-
5955,O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O,unreliable prediction,Outside AD,-,-,-
5956,C=CC1=C(C)C(=CC2=NC(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,Inactive,Inside AD,-,-,-
5957,COc1ccc(-n2cnc3ccc(-c4n[nH]c(=S)o4)cc32)cc1,unreliable prediction,Outside AD,-,-,-
5958,O=C(O)C(=O)Nc1ccccc1C(=O)O,unreliable prediction,Outside AD,-,-,-
5959,CC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1,unreliable prediction,Outside AD,-,-,-
5960,CCCCCCCCCCC[PH](=O)OCCCC,unreliable prediction,Outside AD,-,-,-
5961,Oc1c(I)cc(Cl)c2cccnc12,unreliable prediction,Outside AD,-,-,-
5962,OCCOc1ccccc1,unreliable prediction,Outside AD,-,-,-
5963,Oc1cc(O)cc(O)c1,unreliable prediction,Outside AD,-,-,-
5964,CCN1c2c(F)ccc(F)c2C(N)=NC12CCN(C(=O)C1=CN=C(C#N)CC1)CC2,Inactive,Inside AD,-,-,-
5965,Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Inactive,Inside AD,-,-,-
5966,CCC1C(=O)OCC1Cc1cncn1C,unreliable prediction,Outside AD,-,-,-
5967,CC(CN)C(=O)O,unreliable prediction,Outside AD,-,-,-
5968,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,Inactive,Inside AD,-,-,-
5969,NC(=O)c1cccc(O)c1O,unreliable prediction,Outside AD,-,-,-
5970,CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O,unreliable prediction,Outside AD,-,-,-
5971,O=C(NC1CCCC1NC(=O)c1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,unreliable prediction,Outside AD,-,-,-
5972,CC(C)(CCl)C(=O)Nc1ccc(C(F)(F)F)cc1,unreliable prediction,Outside AD,-,-,-
