No.;SMILES;HDAC6 activity;Applicability domain (AD);Experimental value; pIC50;Standard deviation;Chemble ID
22;NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1;unreliable prediction;Outside AD;-0;-0;-0;
23;COC1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
24;[H]N=C(N)NCCN1CCCCCCC1;unreliable prediction;Outside AD;-0;-0;-0;
25;Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl;unreliable prediction;Outside AD;-0;-0;-0;
26;OCCOCCOCCOCCOCCOCCOCCS;unreliable prediction;Outside AD;-0;-0;-0;
27;CCCCCC(=O)CP(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
28;O=C1c2ccccc2-c2[nH]nc3cccc1c23;unreliable prediction;Outside AD;-0;-0;-0;
29;COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2;unreliable prediction;Outside AD;-0;-0;-0;
30;NC(=O)CN1C(=O)C(NC(=O)C2=CC3=CC(Cl)SC3=N2)Cc2ccccc21;unreliable prediction;Outside AD;-0;-0;-0;
31;O=P(O)(O)C(Cl)(Cl)P(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
32;COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
33;COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O;unreliable prediction;Outside AD;-0;-0;-0;
34;O=C(O)C(S)C(S)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
35;O=C(O)C(S)C(S)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
36;CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C;unreliable prediction;Outside AD;-0;-0;-0;
37;Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21;unreliable prediction;Outside AD;-0;-0;-0;
38;COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
39;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2;unreliable prediction;Outside AD;-0;-0;-0;
40;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2;unreliable prediction;Outside AD;-0;-0;-0;
41;Oc1ccc(C2COc3cc(O)ccc3C2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
42;CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2OP(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
43;Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1;unreliable prediction;Outside AD;-0;-0;-0;
44;O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O;unreliable prediction;Outside AD;-0;-0;-0;
45;OCC1C(O)C(O)C(O)c2nc(CNc3ccccc3)cn21;unreliable prediction;Outside AD;-0;-0;-0;
46;O=C(Nc1ccncc1)C(NS(=O)(=O)c1cccc2nsnc12)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
47;CC(C)NCC(O)COc1ccc(O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
48;NC(CS(=O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
49;Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2;unreliable prediction;Outside AD;-0;-0;-0;
50;O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1;unreliable prediction;Outside AD;-0;-0;-0;
51;CC12CCC(O)CC1CCC1C2CCC2(C)C(O)(c3ccoc3)CCC12O;unreliable prediction;Outside AD;-0;-0;-0;
52;CCNC(=O)OC;unreliable prediction;Outside AD;-0;-0;-0;
53;[H]N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1;unreliable prediction;Outside AD;-0;-0;-0;
54;CCCCCCC(N)=O;unreliable prediction;Outside AD;-0;-0;-0;
55;NC(=O)C(N)CCC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
56;CCOC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NNCCCCN;unreliable prediction;Outside AD;-0;-0;-0;
57;CCCCCCC(O)CO;unreliable prediction;Outside AD;-0;-0;-0;
58;NC(Cn1cc(Br)c(=O)[nH]c1=O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
59;[H]N=C(N)c1ccc(CNC(=O)C2CCCN2C(=O)CCC(C)C)cc1;unreliable prediction;Outside AD;-0;-0;-0;
60;CC(C)N1CCN(c2ccc(N3CCN(c4ccc(OCC5OCC(Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
61;NC1CC1c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
62;NC1CC1c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
63;CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O;unreliable prediction;Outside AD;-0;-0;-0;
64;O=C(O)C1OC(O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
65;O=C(O)C1OC(O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
66;O=C(O)C1OC(O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
67;O=C(O)C1OC(O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
68;O=C(O)C1OC(O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
69;O=C(O)CO;unreliable prediction;Outside AD;-0;-0;-0;
70;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1OP(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
71;CCc1cc(C(N)=S)ccn1;unreliable prediction;Outside AD;-0;-0;-0;
72;COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2;unreliable prediction;Outside AD;-0;-0;-0;
73;CCCCCCCCCCCCCCC(O)C(O)C(N)CO;unreliable prediction;Outside AD;-0;-0;-0;
74;CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N;unreliable prediction;Outside AD;-0;-0;-0;
75;CCC(CO)NCCNC(CC)CO;unreliable prediction;Outside AD;-0;-0;-0;
76;COc1cccc(-c2cccc(CCc3cccc(N)n3)c2)c1;unreliable prediction;Outside AD;-0;-0;-0;
77;C[Se]CC1CC2C(CCC3(C)C(C(C)CCCC(C)C)CCC23)C2=C1CC(O)CC2;unreliable prediction;Outside AD;-0;-0;-0;
78;CC(=O)NCCCS(=O)(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
79;O=C(CCc1ccc(CNC(C(=O)OC2CCCC2)C2CCCCC2)cn1)NO;unreliable prediction;Outside AD;-0;-0;-0;
80;O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21;unreliable prediction;Outside AD;-0;-0;-0;
81;Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2cccc(F)c2)sc1Cl;unreliable prediction;Outside AD;-0;-0;-0;
82;CSc1ccc(C(=O)C=Cc2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
83;O=c1nc[nH]c2c(CN3CC(O)C(CO)C3)c[nH]c12;unreliable prediction;Outside AD;-0;-0;-0;
84;Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1;unreliable prediction;Outside AD;-0;-0;-0;
85;O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23;unreliable prediction;Outside AD;-0;-0;-0;
86;CC(O)CCOCCC(C)O;unreliable prediction;Outside AD;-0;-0;-0;
87;O=C(NC1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O;unreliable prediction;Outside AD;-0;-0;-0;
88;c1ccc2sc(SSc3nc4ccccc4s3)nc2c1;unreliable prediction;Outside AD;-0;-0;-0;
89;Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
90;O=C(O)CCCCC1CCSS1;unreliable prediction;Outside AD;-0;-0;-0;
91;O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl;unreliable prediction;Outside AD;-0;-0;-0;
92;CCCCCC(O)C1C(=O)OC(C)C(O)C=CC=CC=CC=CC=C(C)C(O)C(O)C(O)CC(O)CC(O)CC(O)CC(O)CC1O;unreliable prediction;Outside AD;-0;-0;-0;
93;NC(CC1=CC(=O)C(O)=CC1=O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
94;CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1;unreliable prediction;Outside AD;-0;-0;-0;
95;CC1(C)C(=O)N(C(=O)NCC2CCN(CC3(O)CCOCC3)CC2)c2cc(F)ccc21;unreliable prediction;Outside AD;-0;-0;-0;
96;NCCCCc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
97;CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O;unreliable prediction;Outside AD;-0;-0;-0;
98;O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCCC2C1;unreliable prediction;Outside AD;-0;-0;-0;
99;CCC(C)C(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
100;CCC(C)C(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
101;CC(C)(C)c1onc(OCP(=O)(O)O)c1CC(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
102;OCCOc1ccccc1-c1ccc(F)c(F)c1F;unreliable prediction;Outside AD;-0;-0;-0;
103;O=C(NC1c2ccccc2CC1O)C(CC(O)C(OCc1ccccc1)C(=O)NC1c2ccccc2CC1O)OCc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
104;Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1;unreliable prediction;Outside AD;-0;-0;-0;
105;O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
106;OCC1OC(c2ccc(F)c(Cc3cc4ccccc4s3)c2)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
107;COC1OC(CNC(=O)N(CCCl)N=O)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
108;O=C(O)CCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2;unreliable prediction;Outside AD;-0;-0;-0;
109;NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2OCCNCC2CCCNC2)C(N)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
110;CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O;unreliable prediction;Outside AD;-0;-0;-0;
111;COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2;unreliable prediction;Outside AD;-0;-0;-0;
112;CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O;unreliable prediction;Outside AD;-0;-0;-0;
113;NCCCC(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
114;C=CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C;unreliable prediction;Outside AD;-0;-0;-0;
115;Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1;unreliable prediction;Outside AD;-0;-0;-0;
116;N#CSc1cnn2c(NCc3ccncc3)cc(-c3cccc(Cl)c3Cl)nc12;unreliable prediction;Outside AD;-0;-0;-0;
117;OCC1N=C(NO)C(O)C(O)C1OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
118;O=C(O)C(=O)Nc1cc2[nH]ccc2cc1C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
119;NC(CCC(=O)NC(CSCc1cccc(I)c1)C(=O)NCC(=O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
120;Cc1ccc2c(c1)Sc1ccc(C)cc1S2;unreliable prediction;Outside AD;-0;-0;-0;
121;COC(=O)OC12COC1CC(O)C1(C)C(=O)C(OC(C)=O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)C(C)(C)C)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C;unreliable prediction;Outside AD;-0;-0;-0;
122;CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1C(C(=O)O)CC2CCCCC21;unreliable prediction;Outside AD;-0;-0;-0;
123;CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
124;CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1;unreliable prediction;Outside AD;-0;-0;-0;
125;Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(N3CCNCC3)n2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
126;CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccncc3-4)cc2)C1;unreliable prediction;Outside AD;-0;-0;-0;
127;CC(C)N1CC(O)c2cc(N=NC(N)=O)c(O)cc21;unreliable prediction;Outside AD;-0;-0;-0;
128;[H]N=C(N)c1ccc(CNC(=O)C(CCSC)NC(=O)C(NS(=O)(=O)CCC)C(C)O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
129;CCSCCC(N)C(O)C(=O)NC(C)c1cccc2ccccc12;unreliable prediction;Outside AD;-0;-0;-0;
130;Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1;unreliable prediction;Outside AD;-0;-0;-0;
131;COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1;unreliable prediction;Outside AD;-0;-0;-0;
132;CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCCCN)B(O)O;unreliable prediction;Outside AD;-0;-0;-0;
133;O=C(O)CCCC1SCC2NC(=O)NC21;unreliable prediction;Outside AD;-0;-0;-0;
134;COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1;unreliable prediction;Outside AD;-0;-0;-0;
135;CN(C)c1ccc(-c2c(N)ncnc2C#Cc2ccc(N3CCOCC3)nc2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
136;COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O;unreliable prediction;Outside AD;-0;-0;-0;
137;NCC1CCN(CC(=O)Nc2cccc3c2C(=O)c2c-3n[nH]c2C2CCCCC2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
138;CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1;unreliable prediction;Outside AD;-0;-0;-0;
139;COC(=O)CC1CC(c2ccc(O)cc2)=NO1;unreliable prediction;Outside AD;-0;-0;-0;
140;O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1;unreliable prediction;Outside AD;-0;-0;-0;
141;CC(C)CCCC(C)CCCC(C)CCCC(C)CCO;unreliable prediction;Outside AD;-0;-0;-0;
142;NC(Cc1ccc(I)cc1)C(=O)NO;Inactive;Inside AD;-0;-0;-0;
143;CC12CCC3c4ccc(O)cc4CCC3C1C(O)C(O)C2O;unreliable prediction;Outside AD;-0;-0;-0;
144;O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1;unreliable prediction;Outside AD;-0;-0;-0;
145;CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21;unreliable prediction;Outside AD;-0;-0;-0;
146;CNC(=O)CN1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
147;CC12CCC(=O)CC1CCC1C2CCC2(CCOCc3cc(F)cc(F)c3)C(O)CCC12;unreliable prediction;Outside AD;-0;-0;-0;
148;CCC(C(=O)NC(N)=O)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
149;CC(=O)C(O)C(O)COP(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
150;COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c1ccc(Cl)cc1;Inactive;Inside AD;-0;-0;-0;
151;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OCC(O)C(O)C3O)O2)c(=O)[nH]c1=O;unreliable prediction;Outside AD;-0;-0;-0;
152;Nc1nc(=O)c2nc(COP(=O)(O)O)cnc2[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
153;CN1C(=O)CC(C)(c2ccccc2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
154;CNC(=O)C(NC(=O)C(OCc1ccc(-c2ccsc2)cc1)C(O)C(O)C(OCc1ccc(-c2ccsc2)cc1)C(=O)NC(C(=O)NC)C(C)C)C(C)C;unreliable prediction;Outside AD;-0;-0;-0;
155;COc1ccc2cc(C(C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1;unreliable prediction;Outside AD;-0;-0;-0;
156;CCOC(=O)C12CCC(NCC(=O)N3CC(F)CC3C#N)(CC1)CC2;unreliable prediction;Outside AD;-0;-0;-0;
157;CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1ccc(N)nc1;unreliable prediction;Outside AD;-0;-0;-0;
158;[H]N=C1NC(=O)C(=C(C)c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1;unreliable prediction;Outside AD;-0;-0;-0;
159;CC(C)=CCCC(C)=CCSP(=O)(O)OP(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
160;CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
161;CC(=O)NC(CCCN(O)C(=O)C=C(C)CCO)C(=O)OCCC(C)=CC(=O)N(O)CCCC1NC(=O)C(CCCN(O)C(=O)C=C(C)CCO)NC1=O;unreliable prediction;Outside AD;-0;-0;-0;
162;COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C;unreliable prediction;Outside AD;-0;-0;-0;
163;O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1;unreliable prediction;Outside AD;-0;-0;-0;
164;Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C;unreliable prediction;Outside AD;-0;-0;-0;
165;CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C;unreliable prediction;Outside AD;-0;-0;-0;
166;OC(O)(C(F)(F)F)C(F)(F)F;unreliable prediction;Outside AD;-0;-0;-0;
167;CC(C)CC(CC(=O)O)C(=O)NC1Cc2cn(c3ccccc23)CCCCCCNC1=O;unreliable prediction;Outside AD;-0;-0;-0;
168;O=C(CCCP(=O)(O)O)NO;Inactive;Inside AD;-0;-0;-0;
169;C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc2nc(Br)cnc2c1;unreliable prediction;Outside AD;-0;-0;-0;
170;CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
171;NNc1cc2c(nn1)CCN(C(=O)c1ccccc1)C2;unreliable prediction;Outside AD;-0;-0;-0;
172;CC(=O)N(C)c1cccc(-c2nnc3ccc(-c4ccccc4)nn23)c1;unreliable prediction;Outside AD;-0;-0;-0;
173;CC(CC1c2ccccc2CCc2ccccc21)CN(C)C;unreliable prediction;Outside AD;-0;-0;-0;
174;CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C;unreliable prediction;Outside AD;-0;-0;-0;
175;CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1;unreliable prediction;Outside AD;-0;-0;-0;
176;CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1;unreliable prediction;Outside AD;-0;-0;-0;
177;CC(=O)NC1C(O)C(F)C(O)(C(=O)O)OC1C(O)C(O)CO;unreliable prediction;Outside AD;-0;-0;-0;
178;Cc1cc(C(=O)O)ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2;unreliable prediction;Outside AD;-0;-0;-0;
179;O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1;unreliable prediction;Outside AD;-0;-0;-0;
180;O=P(O)(O)OCC1OC(n2cnc3c(Cl)ncnc32)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
181;CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
182;O=C(CCCCCCCCC(=O)Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314)Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314;unreliable prediction;Outside AD;-0;-0;-0;
183;O=C(O)CCO;unreliable prediction;Outside AD;-0;-0;-0;
184;CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1;unreliable prediction;Outside AD;-0;-0;-0;
185;Nc1ccc(C(=O)O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
186;O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I;unreliable prediction;Outside AD;-0;-0;-0;
187;Cn1cc(C2CC(O)C(CO)O2)c(=O)[nH]c1=O;unreliable prediction;Outside AD;-0;-0;-0;
188;Nc1nc(=O)c2nc(COP(=O)(O)OP(=O)(O)O)cnc2[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
189;CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
190;c1ccc(-c2cc(CCC3CCNCC3)c3ccccc3n2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
191;Nc1ncnc2c(C3NC(CO)C(O)C3O)c[nH]c12;unreliable prediction;Outside AD;-0;-0;-0;
192;O=S(=O)(CCNCCCO)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
193;CN1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2;unreliable prediction;Outside AD;-0;-0;-0;
194;CN(C(=O)Oc1ccc(Cl)cc1)C1CCC(c2ccc(CN3CCCCC3)cc2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
195;CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1;unreliable prediction;Outside AD;-0;-0;-0;
196;[H]N=C(N)NCCCC1NC(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)NC(=O)C(CC(=O)O)NC(=O)CNC1=O;unreliable prediction;Outside AD;-0;-0;-0;
197;C#Cc1ccc(Nc2c(C(=O)NOCCO)ccc(F)c2F)c(F)c1;unreliable prediction;Outside AD;-0;-0;-0;
198;Cc1cc(C)c2c3ccccc3n(Cc3cccc(C(C(=O)NC(CO)c4ccccc4)C4CCCC4)c3)c2n1;unreliable prediction;Outside AD;-0;-0;-0;
199;CC12C=C(C=O)C(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(C)O;unreliable prediction;Outside AD;-0;-0;-0;
